start the A market get data program at 21:24:49
http://quotes.money.163.com/hs/service/diyrank.php?host=http%3A%2F%2Fquotes.money.163.com%2Fhs%2Fservice%2Fdiyrank.php&page=0&query=STYPE%3AEQA&fields=NO%2CNAME%2CSYMBOL%2CVOLUME&sort=SYMBOL&order=asc&count=5000&type=query      SYMBOL    NAME  DATE     VOLUME
416   000949    新乡化纤  None    4239364
417   000950    重药控股  None    2287654
418   000951    中国重汽  None    7858279
419   000952    广济药业  None     854713
420   000953   _st河化  None    2470601
421   000955    欣龙控股  None    4829200
422   000957    中通客车  None    2286935
423   000958    东方能源  None   10606100
424   000959    首钢股份  None   14413181
425   000960    锡业股份  None    8128118
426   000961    中南建设  None   28479513
427   000962    东方钽业  None    2775622
428   000963    华东医药  None    6042099
429   000965    天保基建  None    2123362
430   000966    长源电力  None    7406146
431   000967    盈峰环境  None    3840606
432   000968    蓝焰控股  None    1720419
433   000969    安泰科技  None    3916430
434   000970    中科三环  None    6886704
435   000971   _st高升  None    3951141
436   000972    st中基  None    3799000
437   000973    佛塑科技  None   36007319
438   000975    银泰黄金  None   15301079
439   000976    华铁股份  None    2591319
440   000977    浪潮信息  None   42830505
441   000978    桂林旅游  None     788000
442   000979     中弘退  None  215311798
443   000980    众泰汽车  None   15511359
444   000981    st银亿  None   30519375
445   000982  _st 中绒  None   20351137
446   000983    西山煤电  None   11072121
447   000985    大庆华科  None     647200
448   000987    越秀金控  None    5831809
449   000988    华工科技  None   20630394
450   000989   九 芝 堂  None    2858704
451   000990    诚志股份  None    3690623
452   000993    闽东电力  None    1743219
453   000995   _st皇台  None          0
454   000996    中国中期  None    6694924
455   000997   新 大 陆  None    9381293
456   000998    隆平高科  None   11445600
457   000999    华润三九  None    3226006
458   001696    宗申动力  None    4971229
459   001872    招商港口  None     527570
460   001896    豫能控股  None   24419728
461   001965    招商公路  None    2127694
462   001979    招商蛇口  None    8982939
463   002001   新 和 成  None   20740157
464   002002    鸿达兴业  None    8911091
465   002003    伟星股份  None    1437174
466   002004    华邦健康  None    3575872
467   002005   _st德豪  None    6601200
468   002006    精功科技  None    1604203
469   002007    华兰生物  None   11580540
470   002008    大族激光  None   12450384
471   002009    天奇股份  None    2008587
472   002010    传化智联  None    4692493
473   002011    盾安环境  None   18314072
474   002012    凯恩股份  None   12994837
475   002013    中航机电  None   12618524
476   002014    永新股份  None    3608550
477   002015    协鑫能科  None    1758709
478   002016    世荣兆业  None    1879915
479   002017    东信和平  None   56649698
480   002019    亿帆医药  None   30918882
481   002020    京新药业  None    7790186
482   002021   _st中捷  None          0
483   002022    科华生物  None    6562584
484   002023    海特高新  None    7999657
485   002024    苏宁易购  None   34592050
486   002025    航天电器  None    2980477
487   002026    山东威达  None   23098251
488   002027    分众传媒  None   70751839
489   002028    思源电气  None    9945750
490   002029   七 匹 狼  None    2341288
491   002030    达安基因  None    1990925
492   002031    巨轮智能  None   13158297
493   002032   苏 泊 尔  None    1949599
494   002033    丽江旅游  None    2455485
495   002034    旺能环境  None     653800
496   002035    华帝股份  None   13174787
497   002036    联创电子  None   17830497
498   002037    久联发展  None     762000
499   002038    双鹭药业  None    3922868
500   002039    黔源电力  None    3233674
501   002040   南 京 港  None    1742080
502   002041    登海种业  None   10061300
503   002042    华孚时尚  None    3684345
504   002043   兔 宝 宝  None   40017390
505   002044    美年健康  None   39524507
506   002045    国光电器  None   62981585
507   002046    轴研科技  None     704112
508   002047    宝鹰股份  None   10305373
509   002048    宁波华翔  None   14330407
510   002049    紫光国微  None   15257251
511   002050    三花智控  None   16156640
512   002051    中工国际  None    2893529
513   002052    同洲电子  None   16568446
514   002053    云南能投  None     674100
515   002054    德美化工  None    3499358
516   002055    得润电子  None    1726448
517   002056    横店东磁  None    9235727
518   002057    中钢天源  None   12155589
519   002058   威 尔 泰  None    4839726
520   002059    云南旅游  None     892488
521   002060   粤 水 电  None    1931000
522   002061    浙江交科  None    6752800
523   002062    宏润建设  None   18561612
524   002063    远光软件  None   18185738
525   002064    华峰氨纶  None   15746184
526   002065    东华软件  None   57374133
527   002066    瑞泰科技  None     732200
528   002067    景兴纸业  None    4185642
529   002068    黑猫股份  None    2995948
530   002069     獐子岛  None    4529300
531   002071    长城影视  None   11240685
532   002072   _st凯瑞  None    1179300
533   002073    软控股份  None   10008428
534   002074    国轩高科  None   15434121
535   002075    沙钢股份  None   15687966
536   002076   雪 莱 特  None   12801244
537   002077    大港股份  None   17743606
538   002078    太阳纸业  None   29915195
539   002079    苏州固锝  None   61619611
540   002080    中材科技  None    6799590
541   002081   金 螳 螂  None   26559774
542   002082     万邦德  None    1049500
543   002083    孚日股份  None    6629993
544   002084    海鸥住工  None    7229486
545   002085    万丰奥威  None    8073642
546   002086   st东海洋  None    5865400
547   002087    新野纺织  None    8553751
548   002088    鲁阳节能  None    1274500
549   002089   _st新海  None   22241264
550   002090    金智科技  None    2079102
551   002091    江苏国泰  None    8107722
552   002092    中泰化学  None   11394337
553   002093    国脉科技  None    4393527
554   002094    青岛金王  None    6284215
555   002095   生 意 宝  None    2006616
556   002096    南岭民爆  None     893800
557   002097    山河智能  None    4646450
558   002098    浔兴股份  None    7865702
559   002099    海翔药业  None    7518416
560   002100    天康生物  None   25097491
561   002101    广东鸿图  None    1179638
562   002102    st冠福  None    6225100
563   002103    广博股份  None    7785793
564   002104    恒宝股份  None   10204977
565   002105    信隆健康  None    3124900
566   002106    莱宝高科  None   18116101
567   002107    沃华医药  None     949700
568   002108    沧州明珠  None  120730018
569   002109    兴化股份  None    3144605
570   002110    三钢闽光  None   40584225
571   002111    威海广泰  None    2355850
572   002112    三变科技  None    1346901
573   002113    st天润  None   13839426
574   002114    罗平锌电  None    1663000
575   002115    三维通信  None    9098687
576   002116    中国海诚  None     452400
577   002117    东港股份  None    9940020
578   002118    紫鑫药业  None   10042080
579   002119    康强电子  None   17104715
580   002120    韵达股份  None    9291188
581   002121    科陆电子  None    3456539
582   002122   _st天马  None    4624835
583   002123    梦网集团  None   13663994
584   002124    天邦股份  None   40891278
585   002125    湘潭电化  None    4296484
586   002126    银轮股份  None    1251717
587   002127    南极电商  None   18495137
588   002128    露天煤业  None   13092885
589   002129    中环股份  None   50670182
590   002130    沃尔核材  None   10011792
591   002131    利欧股份  None   69626130
592   002132    恒星科技  None    6133900
593   002133    广宇集团  None    1846604
594   002134    天津普林  None    6495607
595   002135    东南网架  None     875500
596   002136   安 纳 达  None    1156900
597   002137    麦达数字  None    5337000
598   002138    顺络电子  None   18004426
599   002139    拓邦股份  None    7009862
600   002140    东华科技  None    1660516
601   002141    贤丰控股  None   15354800
602   002142    宁波银行  None   15907279
603   002143     印纪退  None   21184783
604   002144    宏达高科  None     377700
605   002145    中核钛白  None   13875400
606   002146    荣盛发展  None   25333647
607   002147    st新光  None    5615400
608   002148    北纬科技  None    5107480
609   002149    西部材料  None    2705044
610   002150    通润装备  None    6595798
611   002151    北斗星通  None    1602611
612   002152    广电运通  None   23068841
613   002153    石基信息  None    5649690
614   002154   报 喜 鸟  None   20138491
615   002155    湖南黄金  None   12952460
616   002156    通富微电  None   29176224
617   002157    正邦科技  None   36033330
618   002158    汉钟精机  None    2898410
619   002159    三特索道  None    1430300
620   002160    常铝股份  None    4258700
621   002161   远 望 谷  None   39636073
622   002162    悦心健康  None    3915540
623   002163    中航三鑫  None    5461401
624   002164    宁波东力  None    2841500
625   002165   红 宝 丽  None    4543680
626   002166    莱茵生物  None    3163558
627   002167    东方锆业  None    4694700
628   002168    惠程科技  None    6536788
629   002169    智光电气  None   24797112
630   002170    芭田股份  None   15461097
631   002171    楚江新材  None    5564400
632   002172    澳洋健康  None    1761080
633   002173    创新医疗  None     690100
634   002174    游族网络  None   14144651
635   002175   _st东网  None   14372545
636   002176    江特电机  None   36556239
637   002177    御银股份  None   10135151
638   002178    延华智能  None    2176400
639   002179    中航光电  None    5527239
640   002180     纳思达  None    6576386
641   002181   粤 传 媒  None    8665500
642   002182    云海金属  None    8817615
643   002183   怡 亚 通  None   10376381
644   002184    海得控制  None    5332750
645   002185    华天科技  None  337829009
646   002186   全 聚 德  None     616506
647   002187    广百股份  None     616966
648   002188   _st巴士  None    3042200
649   002189     中光学  None    1853643
650   002190   _st集成  None     996002
651   002191    劲嘉股份  None   26346207
652   002192    融捷股份  None    9442254
653   002193    如意集团  None    1061268
654   002194    武汉凡谷  None   10236100
655   002195    二三四五  None   52480097
656   002196    方正电机  None    1651120
657   002197    证通电子  None    5074647
658   002198    嘉应制药  None    8810232
659   002199    东晶电子  None   27991252
